id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
40982,0.090909091,0.636363636,0.090909091,0,0,0,0,0,0,0,0,0.181818182,0.072243356,0.47401775,0.12801015,0,0,0,0,0,0,0,0,0.325728744,202448.79,11
40987,0.058823529,0,0,0,0.058823529,0,0,0,0,0.882352941,0,0,0.280719284,0,0,0,0.137862145,0,0,0,0,0.581418571,0,0,336627.07,17
41024,0,0.538461538,0,0.038461538,0.115384615,0.307692308,0,0,0,0,0,0,0,0.645875248,0,0.002012076,0.024144873,0.327967804,0,0,0,0,0,0,585132.1,26
41046,0,0.375,0.1875,0.0625,0.0625,0,0.25,0,0.0625,0,0,0,0,0.008557465,0.01100246,0.002444995,0.00122248,0,0.974327605,0,0.002444995,0,0,0,291260.32,16
41059,0.040816327,0.224489796,0.12244898,0.306122449,0,0.020408163,0.040816327,0.081632653,0.163265306,0,0,0,0.051687768,0.443037977,0.078059077,0.235232067,0,0.021097042,0.08438818,0.08438818,0.002109709,0,0,0,888269.54,49
41072,0,0.142857143,0,0,0,0.857142857,0,0,0,0,0,0,0,0.093999994,0,0,0,0.906000006,0,0,0,0,0,0,275058.74,21
41081,0,0.090909091,0.545454545,0,0.090909091,0.272727273,0,0,0,0,0,0,0,0.118000005,0.485,0,0.035999996,0.360999999,0,0,0,0,0,0,433515.32,11
41083,0,0.416666667,0.083333333,0.083333333,0.25,0.083333333,0,0,0,0,0.083333333,0,0,0.028815368,0.013874069,0.046958379,0.155816437,0.007470656,0,0,0,0,0.747065091,0,794955.67,12
41091,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,309473.27,68
41104,0,0,0.076923077,0.846153846,0,0,0,0.076923077,0,0,0,0,0,0,0.923076664,0.038461668,0,0,0,0.038461668,0,0,0,0,23718.42,13
41108,0.076923077,0,0,0.692307692,0,0,0.076923077,0.153846154,0,0,0,0,0.031496078,0,0,0.023622089,0,0,0.251968497,0.692913336,0,0,0,0,80496.69,13
